driveWorkAccessibility,0.9923668486707677,0.015016822674096349
driveSecondaryAccessibility,0.8840707899340806,0.03978051634138738
transitWorkAccessibility,1.0000001225785828,3.064464566946232e-06
transitSecondaryAccessibility,1.0000001225785828,3.064464566946232e-06
averageVehicleDelayPerPassengerTrip,0.7268457553744655,0.3366150392405349
motorizedVehicleMilesTraveled_total,nan,nan
busCrowding,1.386170679586668,0.053948440864876435
averageTravelCostBurden_Work,0.9149127830213601,0.305439385465366
averageTravelCostBurden_Secondary,2.0208452440723588,1.3011484735808712
costBenefitAnalysis,0.07758856040540374,9.594110883973858e-05
sustainability_GHG,0.563376585707481,0.19775366201588168
sustainability_PM,0.672397345783344,0.17423975498344532
TollRevenue,45450.22322683703,38301.98708273262
VMT,51656.73283861843,21612.060359682266
